SECID,BOARDID,BID,OFFER,SPREAD,OPEN,HIGH,LOW,LAST,QUANTITY,LASTCHANGE,SETTLEPRICE,SETTLETOPREVSETTLE,OPENPOSITION,NUMTRADES,VOLTODAY,VALTODAY,VALTODAY_USD,UPDATETIME,LASTCHANGEPRCNT,BIDDEPTH,BIDDEPTHT,NUMBIDS,OFFERDEPTH,OFFERDEPTHT,NUMOFFERS,TIME,SETTLETOPREVSETTLEPRC,SEQNUM,SYSTIME,TRADEDATE,LASTTOPREVPRICE,OICHANGE,OPENPERIODPRICE,SWAPRATE,TRADE_SESSION_DATE,LAST_RUB
DRZ6,RFUD,2296,2299,3,2335,2335,2288,2300,1,-7,2300,-36,11158,77,242,559998,6798,17:50:22,-0.3,,,,,,,17:40:07,-1.57,20260813180523,2026-08-13 18:05:23,2026-08-13,-1.79,-44,0.00000,0.00000,2026-08-13,2300
DXU6,RFUD,21647,21719,72,21682,21759,21644,21719,3,75,21719,56,8358,44,158,3285338,39883,17:48:33,0.35,,,,,,,17:35:35,0.26,20260813180335,2026-08-13 18:03:35,2026-08-13,0.46,156,0.00000,0.00000,2026-08-13,20802
DXZ6,RFUD,21488,21593,105,21540,21599,21504,21599,1,95,21593,55,1142,11,29,598358,7264,17:50:07,0.44,,,,,,,17:11:41,0.25,20260813180508,2026-08-13 18:05:08,2026-08-13,0.05,40,0.00000,0.00000,2026-08-13,20687
EAU6,RFUD,3125,3130,5,3181,3280,3109,3119,24,-5,3124,-101,23692,1459,8949,28599409,347189,17:50:20,-0.16,,,,,,,17:43:57,-3.23,20260813180522,2026-08-13 18:05:22,2026-08-13,-2.59,-478,0.00000,0.00000,2026-08-13,3119
EAZ6,RFUD,3237,3243,6,3296,3377,3223,3223,2,-25,3236,-95,4740,75,254,843784,10243,17:50:20,-0.77,,,,,,,17:34:55,-2.94,20260813180522,2026-08-13 18:05:22,2026-08-13,-2.95,-64,0.00000,0.00000,2026-08-13,3223
ECU6,RFUD,0,0,0,0,0,0,0,0,0,1.6218,0,0,0,0,0,0,02:02:24,0,,,,,,,02:02:24,0,20260813070502,2026-08-13 07:05:02,,,0,0.00000,0.00000,2026-08-13,0
ECZ6,RFUD,0,0,0,0,0,0,0,0,0,1.6255,0,0,0,0,0,0,02:02:24,0,,,,,,,02:02:24,0,20260813070502,2026-08-13 07:05:02,,,0,0.00000,0.00000,2026-08-13,0
EDH7,RFUD,1.1504,1.1523,0.0019,1.1489,1.151,1.1489,1.151,1,0.0021,1.151,-0.0011,40,2,2,190895,2317,17:50:06,0.18,,,,,,,17:31:53,-0.1,20260813180507,2026-08-13 18:05:07,2026-08-13,0,0,0.00000,0.00000,2026-08-13,95530
EDM7,RFUD,1.1497,1.1555,0.0058,0,0,0,0,0,0,1.154,0.0006,12,0,0,0,0,17:49:53,0,,,,,,,17:49:53,0.05,20260813180454,2026-08-13 18:04:54,,,0,0.00000,0.00000,2026-08-13,0
EDU6,RFUD,1.1526,1.1527,0.0001,1.1502,1.1531,1.1494,1.1527,3,0.0001,1.1526,0.0006,755196,2755,24061,2299495267,27915236,17:50:22,0.01,,,,,,,17:50:18,0.05,20260813180523,2026-08-13 18:05:23,2026-08-13,0.16,1754,0.00000,0.00000,2026-08-13,95671
EDZ6,RFUD,1.152,1.1523,0.0003,1.1504,1.1524,1.1496,1.1523,1,-0.0001,1.1522,0.0003,3746,269,378,36090720,438131,17:50:21,-0.01,,,,,,,17:33:01,0.03,20260813180522,2026-08-13 18:05:22,2026-08-13,0.15,-18,0.00000,0.00000,2026-08-13,95638
EGU6,RFUD,0,0,0,0,0,0,0,0,0,0.9078,0,0,0,0,0,0,02:02:24,0,,,,,,,02:02:24,0,20260813070502,2026-08-13 07:05:02,,,0,0.00000,0.00000,2026-08-13,0
EGZ6,RFUD,0,0,0,0,0,0,0,0,0,0.91,0,0,0,0,0,0,02:02:24,0,,,,,,,02:02:24,0,20260813070502,2026-08-13 07:05:02,,,0,0.00000,0.00000,2026-08-13,0
EHQ6,RFUD,1899.3,1900.8,1.5,1897.5,1909.1,1881.1,1899.6,2,-3,1899.6,-3.7,86350,1034,12502,19660456,238673,17:50:21,-0.16,,,,,,,17:49:36,-0.19,20260813180522,2026-08-13 18:05:22,2026-08-13,0.12,-878,0.00000,0.00000,2026-08-13,1577
EHU6,RFUD,1904.8,1907.1,2.3,1904,1916,1888,1909,9,-0.1,1907.2,-4.7,53378,516,4356,6871446,83417,17:50:21,-0.01,,,,,,,17:38:06,-0.25,20260813180522,2026-08-13 18:05:22,2026-08-13,0.19,574,0.00000,0.00000,2026-08-13,1584
EHV6,RFUD,1925,1929.8,4.8,1933.6,1935.6,1909.4,1924.1,9,-0.1,1925,-4.7,19044,37,642,1022781,12416,17:50:00,-0.01,,,,,,,16:34:48,-0.24,20260813180507,2026-08-13 18:05:07,2026-08-13,0.07,338,0.00000,0.00000,2026-08-13,1597
EJU6,RFUD,0,0,0,0,0,0,0,0,0,180.92,0,0,0,0,0,0,02:02:24,0,,,,,,,02:02:24,0,20260813070502,2026-08-13 07:05:02,,,0,0.00000,0.00000,2026-08-13,0
EJZ6,RFUD,0,0,0,0,0,0,0,0,0,181.13,0,0,0,0,0,0,02:02:24,0,,,,,,,02:02:24,0,20260813070502,2026-08-13 07:05:02,,,0,0.00000,0.00000,2026-08-13,0
EMU6,RFUD,66.98,67.17,0.19,66.54,67.12,66.54,67.12,1,0.4,67.12,0.37,1024,3,29,160580,1949,17:49:15,0.6,,,,,,,17:19:09,0.55,20260813180415,2026-08-13 18:04:15,2026-08-13,0.48,50,0.00000,0.00000,2026-08-13,5571
EMZ6,RFUD,67.53,68.27,0.74,0,0,0,0,0,0,68.13,0.37,104,0,0,0,0,17:49:15,0,,,,,,,17:49:15,0.54,20260813180415,2026-08-13 18:04:15,,,0,0.00000,0.00000,2026-08-13,0
ERU6,RFUD,97.52,97.59,0.07,96.52,97.64,96.52,97.64,1,0.04,97.61,1.25,1960,59,374,3637947,44164,17:50:12,0.04,,,,,,,17:22:01,1.28,20260813180513,2026-08-13 18:05:13,2026-08-13,1.48,274,0.00000,0.00000,2026-08-13,9764
ERZ6,RFUD,98.91,99.3,0.39,98.67,99.11,98.67,99.11,1,0.44,99.11,1.24,262,2,2,19778,240,17:50:12,0.45,,,,,,,17:19:52,1.25,20260813180513,2026-08-13 18:05:13,2026-08-13,1.13,0,0.00000,0.00000,2026-08-13,9911
ETU6,RFUD,14.42,14.43,0.01,14.41,14.51,14.28,14.43,100,0.01,14.43,-0.05,332932,405,41569,49569484,601760,17:49:13,0.07,,,,,,,17:46:37,-0.35,20260813180413,2026-08-13 18:04:13,2026-08-13,0.14,-50390,0.00000,0.00000,2026-08-13,1198
ETZ6,RFUD,14.97,15.01,0.04,15.03,15.04,14.84,14.9,20,0.02,14.97,-0.02,46918,19,191,236331,2869,17:49:13,0.13,,,,,,,16:30:17,-0.13,20260813180413,2026-08-13 18:04:13,2026-08-13,0.07,108,0.00000,0.00000,2026-08-13,1237
EuH7,RFUD,101272,101558,286,100906,101104,100835,100835,1,-269,101287,1053,382,22,34,3424872,41577,17:50:22,-0.27,,,,,,,17:49:56,1.04,20260813180523,2026-08-13 18:05:23,2026-08-13,0.6,-24,0.00000,0.00000,2026-08-13,100835
EuM7,RFUD,102653,104684,2031,102976,102976,102976,102976,1,0,102976,309,28,1,1,102976,1250,17:49:19,0,,,,,,,14:56:15,0.3,20260813180420,2026-08-13 18:04:20,2026-08-13,0,-2,0.00000,0.00000,2026-08-13,102976
EURRUBF,RFUD,97.08,97.09,0.01,95.74,97.16,95.71,97.08,1,-0.01,97.08,1.3,138798,2988,9627,929532170,11284263,17:50:20,-0.01,,,,,,,17:50:15,1.34,20260813180522,2026-08-13 18:05:22,2026-08-13,1.37,-1446,0.00000,0.00000,2026-08-13,97080
EuU6,RFUD,97551,97559,8,96337,97691,96263,97556,8,3,97559,1210,1508064,24971,68149,6621884107,80387841,17:50:22,0,,,,,,,17:50:18,1.24,20260813180523,2026-08-13 18:05:23,2026-08-13,1.29,128,0.00000,0.00000,2026-08-13,97556
EuZ6,RFUD,99054,99067,13,97953,99223,97953,99060,1,-5,99060,1134,270258,10304,17495,1727039405,20965781,17:50:22,-0.01,,,,,,,17:49:56,1.14,20260813180523,2026-08-13 18:05:23,2026-08-13,1.18,16302,0.00000,0.00000,2026-08-13,99060
FEU6,RFUD,6015,6026,11,6020,6147,5972,6020,1,-17,6020,-148,18932,340,1456,8801867,106852,17:50:15,-0.28,,,,,,,17:46:14,-2.46,20260813180516,2026-08-13 18:05:16,2026-08-13,-0.22,-298,0.00000,0.00000,2026-08-13,6020
FEZ6,RFUD,6102,6134,32,6143,6227,6077,6157,1,-14,6134,-158,580,46,59,361291,4386,17:50:14,-0.23,,,,,,,17:41:28,-2.58,20260813180515,2026-08-13 18:05:15,2026-08-13,-0.31,-60,0.00000,0.00000,2026-08-13,6157
FFQ6,RFUD,60.125,60.2,0.075,60.585,60.95,59.15,60.195,9,0.095,60.195,-0.63,123792,2354,12614,72209302,876601,17:50:22,0.16,,,,,,,17:49:45,-1.05,20260813180523,2026-08-13 18:05:23,2026-08-13,-0.56,-1068,0.00000,0.00000,2026-08-13,5765
FFU6,RFUD,60.135,60.25,0.115,60.7,61,59.065,60.17,2,-0.03,60.17,-0.635,27246,1057,6139,35190733,427206,17:50:22,-0.05,,,,,,,17:49:28,-1.06,20260813180523,2026-08-13 18:05:23,2026-08-13,-0.79,-466,0.00000,0.00000,2026-08-13,5763
FLU6,RFUD,7839,7854,15,7895,8040,7802,7854,1,20,7854,-193,11406,812,3918,31073388,377222,17:50:21,0.26,,,,,,,17:49:20,-2.46,20260813180522,2026-08-13 18:05:22,2026-08-13,-0.72,2168,0.00000,0.00000,2026-08-13,7854
FLZ6,RFUD,7986,8005,19,8007,8108,7965,7988,1,-6,7988,-209,514,38,84,674430,8187,17:50:21,-0.08,,,,,,,17:45:16,-2.62,20260813180522,2026-08-13 18:05:22,2026-08-13,-1.92,22,0.00000,0.00000,2026-08-13,7988
FNU6,RFUD,8773,8798,25,8934,8934,8826,8826,3,-56,8798,-264,12190,12,149,1318096,16001,17:50:12,-0.63,,,,,,,16:04:40,-3,20260813180513,2026-08-13 18:05:13,2026-08-13,-1.21,122,0.00000,0.00000,2026-08-13,8826
FNZ6,RFUD,9200,9314,114,9220,9554,9150,9200,2,-70,9200,-217,274,36,285,2651941,32194,17:50:12,-0.76,,,,,,,17:49:11,-2.36,20260813180513,2026-08-13 18:05:13,2026-08-13,-1.59,34,0.00000,0.00000,2026-08-13,9200
FSU6,RFUD,5043,5053,10,5164,5218,5037,5046,4,-9,5046,-173,24106,1281,7605,38805512,471088,17:50:16,-0.18,,,,,,,17:49:01,-3.43,20260813180518,2026-08-13 18:05:18,2026-08-13,-3.3,2028,0.00000,0.00000,2026-08-13,5046
FSZ6,RFUD,5220,5232,12,5345,5401,5216,5234,3,-9,5232,-170,2888,197,643,3391141,41168,17:50:16,-0.17,,,,,,,17:48:39,-3.25,20260813180518,2026-08-13 18:05:18,2026-08-13,-3.72,-62,0.00000,0.00000,2026-08-13,5234
GAZPF,RFUD,89.18,89.2,0.02,91.86,92.4,88.83,89.17,1,0.01,89.16,-3.01,660452,10309,86207,778309333,9448460,17:50:22,0.01,,,,,,,17:50:05,-3.38,20260813180523,2026-08-13 18:05:23,2026-08-13,-2.91,7290,0.00000,0.10681,2026-08-13,8917
GDH7,RFUD,4490.9,4494.9,4,4498.5,4516.8,4467.2,4470,4,-5.9,4490.9,-34.6,960,138,153,56961297,691494,17:50:22,-0.13,,,,,,,17:30:14,-0.77,20260813180523,2026-08-13 18:05:23,2026-08-13,-1.02,22,0.00000,0.00000,2026-08-13,371000
GDM7,RFUD,4560.3,4565.1,4.8,4577.3,4583.4,4536.7,4542,1,1.4,4560.3,-39.4,524,58,58,21952734,266500,17:50:14,0.03,,,,,,,17:30:13,-0.86,20260813180522,2026-08-13 18:05:22,2026-08-13,-1.05,48,0.00000,0.00000,2026-08-13,376976
GDU6,RFUD,4396.9,4397,0.1,4411,4417.4,4367.6,4397,3,0.1,4396,-33.9,318428,36941,123954,45165202185,548293060,17:50:22,0,,,,,,,17:50:21,-0.77,20260813180523,2026-08-13 18:05:23,2026-08-13,-0.53,-11784,4411.00000,0.00000,2026-08-13,364941
GDZ6,RFUD,4436.6,4437,0.4,4454.7,4459.2,4406.3,4435.6,2,0.4,4435.6,-36.9,21664,5368,7371,2714084988,32948241,17:50:22,0.01,,,,,,,17:49:54,-0.83,20260813180523,2026-08-13 18:05:23,2026-08-13,-0.58,5776,0.00000,0.00000,2026-08-13,368145
GKU6,RFUD,1230,1231,1,1236,1262,1215,1231,1,1,1231,-13,713662,8886,261197,323420967,3926241,17:50:22,0.08,,,,,,,17:49:31,-1.06,20260813180523,2026-08-13 18:05:23,2026-08-13,-0.97,17666,0.00000,0.00000,2026-08-13,1231
GKZ6,RFUD,1268,1270,2,1276,1298,1255,1268,1,-2,1268,-11,57540,1175,11563,14790294,179550,17:50:17,-0.16,,,,,,,17:39:17,-0.87,20260813180519,2026-08-13 18:05:19,2026-08-13,-1.01,298,0.00000,0.00000,2026-08-13,1268
GLDRUBF,RFUD,11771.2,11772.2,1,11695,11805,11644.8,11771.5,7,-1.5,11771.6,68.6,1479136,27299,458452,5375259646,65254165,17:50:22,-0.01,,,,,,,17:49:54,0.58,20260813180523,2026-08-13 18:05:23,2026-08-13,0.59,-59118,11695.00000,10.70991,2026-08-13,11772
GLH7,RFUD,12570.8,12588.6,17.8,12489,12603,12433.6,12561.4,1,3.6,12572.3,50.6,7554,218,545,6830416,82919,17:50:21,0.03,,,,,,,17:43:18,0.4,20260813180522,2026-08-13 18:05:22,2026-08-13,0.51,62,0.00000,0.00000,2026-08-13,12561
GLM7,RFUD,12852,12883.3,31.3,12817.5,12896,12728.9,12840.5,1,-55.5,12852,17.4,72760,35,84,1073243,13029,17:50:19,-0.43,,,,,,,16:33:51,0.14,20260813180521,2026-08-13 18:05:21,2026-08-13,0.34,-56,0.00000,0.00000,2026-08-13,12841
GLU6,RFUD,11909.6,11911.2,1.6,11818.5,11937.7,11778.7,11911.4,3,2.2,11910.2,51.8,1119476,14315,136567,1618999027,19654200,17:50:22,0.02,,,,,,,17:50:10,0.43,20260813180523,2026-08-13 18:05:23,2026-08-13,0.65,8226,0.00000,0.00000,2026-08-13,11911
GLZ6,RFUD,12234.7,12238.1,3.4,12137,12269,12100.7,12234.4,1,-6.1,12235.2,50.2,227550,7126,87059,1063046636,12905092,17:50:22,-0.05,,,,,,,17:49:42,0.41,20260813180523,2026-08-13 18:05:23,2026-08-13,0.63,133072,0.00000,0.00000,2026-08-13,12234
GNH7,RFUD,4486.6,4498.2,11.6,4506.7,4514.1,4472.8,4482.8,7,4.7,4486.6,-48.4,398,68,87,3243831,39379,17:50:20,0.1,,,,,,,17:44:01,-1.08,20260813180522,2026-08-13 18:05:22,2026-08-13,-1.12,24,0.00000,0.00000,2026-08-13,37206
GNM7,RFUD,4557.6,4584.1,26.5,4556,4600,4545.5,4568.1,1,-31.9,4568.1,-35.9,184,18,18,681874,8278,17:50:14,-0.69,,,,,,,17:13:33,-0.79,20260813180522,2026-08-13 18:05:22,2026-08-13,-0.59,22,0.00000,0.00000,2026-08-13,37914
GNU6,RFUD,4395.7,4395.8,0.1,4410,4418.4,4366.7,4395.8,1,0.1,4395.5,-34.4,36574,9220,29031,1057928080,12842954,17:50:22,0,,,,,,,17:50:13,-0.78,20260813180523,2026-08-13 18:05:23,2026-08-13,-0.5,5028,4410.00000,0.00000,2026-08-13,36484
GNZ6,RFUD,4436.9,4437,0.1,4488.9,4488.9,4407,4437,1,-0.1,4437.4,-37.1,4398,880,1780,65524387,795448,17:50:21,0,,,,,,,17:50:13,-0.84,20260813180522,2026-08-13 18:05:22,2026-08-13,-0.55,720,4488.90000,0.00000,2026-08-13,36826
GUU6,RFUD,1.3453,1.3472,0.0019,1.3437,1.3455,1.3437,1.3453,2,-0.0002,1.3453,-0.0025,5860,4,6,669791,8131,17:48:50,-0.01,,,,,,,17:02:47,-0.19,20260813180350,2026-08-13 18:03:50,2026-08-13,-0.33,8,0.00000,0.00000,2026-08-13,111657
GUZ6,RFUD,1.3422,1.3563,0.0141,0,0,0,0,0,0,1.345,0.0021,4,0,0,0,0,17:48:53,0,,,,,,,17:48:53,0.16,20260813180353,2026-08-13 18:03:53,,,0,0.00000,0.00000,2026-08-13,0
GZH7,RFUD,9673,9690,17,9950,10013,9573,9678,2,-26,9678,-332,13656,449,989,9643223,117066,17:50:22,-0.27,,,,,,,17:39:53,-3.43,20260813180523,2026-08-13 18:05:23,2026-08-13,-2.98,156,0.00000,0.00000,2026-08-13,9678
GZM7,RFUD,10021,10046,25,10298,10338,9965,10058,1,2,10038,-313,2842,183,247,2507944,30446,17:50:18,0.02,,,,,,,17:36:33,-3.12,20260813180520,2026-08-13 18:05:20,2026-08-13,-2.63,150,0.00000,0.00000,2026-08-13,10058
GZU6,RFUD,9033,9034,1,9347,9357,9002,9033,5,3,9029,-320,1173772,38792,281816,2578117890,31297638,17:50:22,0.03,,,,,,,17:50:12,-3.54,20260813180523,2026-08-13 18:05:23,2026-08-13,-2.87,12930,9347.00000,0.00000,2026-08-13,9033
GZZ6,RFUD,9347,9350,3,9666,9678,9300,9342,7,3,9342,-338,117108,4049,13474,127797482,1551426,17:50:22,0.03,,,,,,,17:49:06,-3.62,20260813180523,2026-08-13 18:05:23,2026-08-13,-2.95,5178,0.00000,0.00000,2026-08-13,9342
HDU6,RFUD,2850,2856,6,2924,2945,2847,2854,1,3,2854,-72,28606,730,7791,22606360,274435,17:50:22,0.11,,,,,,,17:47:47,-2.52,20260813180523,2026-08-13 18:05:23,2026-08-13,-2.59,-284,0.00000,0.00000,2026-08-13,2854
HDZ6,RFUD,2783,2808,25,2862,2870,2775,2806,27,31,2806,-35,5998,71,357,1013000,12298,17:50:19,1.12,,,,,,,17:47:47,-1.25,20260813180521,2026-08-13 18:05:21,2026-08-13,-1.27,-434,0.00000,0.00000,2026-08-13,2806
HKU6,RFUD,10.765,10.815,0.05,0,0,0,0,0,0,10.815,0.131,76,0,0,0,0,17:50:15,0,,,,,,,17:50:15,1.21,20260813180516,2026-08-13 18:05:16,,,0,0.00000,0.00000,2026-08-13,0
HKZ6,RFUD,10.578,11.076,0.498,0,0,0,0,0,0,11.076,-0.007,70,0,0,0,0,17:49:47,0,,,,,,,17:49:47,-0.06,20260813180449,2026-08-13 18:04:49,,,0,0.00000,0.00000,2026-08-13,0
HOU6,RFUD,39110,39210,100,39110,39110,39110,39110,1,0,39110,-60,860,1,1,39110,475,17:48:30,0,,,,,,,15:19:36,-0.15,20260813180332,2026-08-13 18:03:32,2026-08-13,-0.31,0,0.00000,0.00000,2026-08-13,39110
HOZ6,RFUD,40310,40840,530,40840,40840,40840,40840,1,0,40310,0,24,1,1,40840,496,17:47:07,0,,,,,,,15:21:28,0,20260813180208,2026-08-13 18:02:08,2026-08-13,-0.12,2,0.00000,0.00000,2026-08-13,40840
HSU6,RFUD,26100,26106,6,26137,26499,26053,26109,144,1,26106,-2,107078,211,8557,23672678,287380,17:50:22,0,,,,,,,17:49:24,-0.01,20260813180523,2026-08-13 18:05:23,2026-08-13,0.15,1468,0.00000,0.00000,2026-08-13,2761
HSZ6,RFUD,26108,26342,234,26468,26483,26126,26126,20,-1,26126,-246,7084,38,351,971917,11799,17:49:55,0,,,,,,,17:46:33,-0.94,20260813180457,2026-08-13 18:04:57,2026-08-13,-1.37,394,0.00000,0.00000,2026-08-13,2763
HXU6,RFUD,1197.5,1202,4.5,1165,1203.7,1080.1,1203.4,3,-0.3,1202,69.5,50564,194,5341,51342612,623285,17:50:22,-0.02,,,,,,,17:47:43,5.78,20260813180523,2026-08-13 18:05:23,2026-08-13,4.1,3828,0.00000,0.00000,2026-08-13,9988
HXZ6,RFUD,1237.9,1257.8,19.9,1195.5,1260,1147.1,1260,1,44,1257.8,86.8,48,18,20,193839,2353,17:50:22,3.62,,,,,,,17:49:03,6.9,20260813180523,2026-08-13 18:05:23,2026-08-13,10.78,-12,0.00000,0.00000,2026-08-13,10458
HYU6,RFUD,3364,3369,5,3471,3475,3365,3365,75,-7,3371,-139,30310,972,7415,25394558,308283,17:50:22,-0.21,,,,,,,17:49:56,-4.12,20260813180523,2026-08-13 18:05:23,2026-08-13,-3.05,688,0.00000,0.00000,2026-08-13,3365
HYZ6,RFUD,3417,3430,13,3500,3536,3443,3443,2,-6,3432,-151,2220,99,524,1827592,22186,17:50:22,-0.17,,,,,,,16:17:37,-4.4,20260813180523,2026-08-13 18:05:23,2026-08-13,-3.56,428,0.00000,0.00000,2026-08-13,3443
I2U6,RFUD,0.8831,0.8862,0.0031,0.8766,0.8856,0.8766,0.8856,1,0.0039,0.8856,0.0136,330,4,33,289500,3514,17:44:43,0.44,,,,,,,16:46:36,1.54,20260813175944,2026-08-13 17:59:44,2026-08-13,1.58,66,0.00000,0.00000,2026-08-13,8856
I2Z6,RFUD,0.8916,0.8962,0.0046,0,0,0,0,0,0,0.8962,0.0094,18,0,0,0,0,17:49:54,0,,,,,,,17:49:54,1.05,20260813180455,2026-08-13 18:04:55,,,0,0.00000,0.00000,2026-08-13,0
IBU6,RFUD,36.29,36.31,0.02,36.17,36.34,35.92,36.31,36,0.02,36.31,0.24,1219108,1377,71110,213120804,2587228,17:50:22,0.06,,,,,,,17:50:05,0.66,20260813180523,2026-08-13 18:05:23,2026-08-13,0.61,-10366,0.00000,0.00000,2026-08-13,3014
IBZ6,RFUD,37.54,37.58,0.04,37.45,37.57,37.19,37.55,4,0.03,37.55,0.22,53390,84,695,2152932,26136,17:50:18,0.08,,,,,,,17:35:19,0.59,20260813180520,2026-08-13 18:05:20,2026-08-13,0.7,908,0.00000,0.00000,2026-08-13,3117
IMOEXF,RFUD,2237,2237.5,0.5,2293.5,2299.5,2232.5,2237,1,-0.5,2236.5,-65,2004840,87872,1500275,33466278370,406271361,17:50:22,-0.02,,,,,,,17:50:22,-2.91,20260813180523,2026-08-13 18:05:23,2026-08-13,-2.46,103538,2293.50000,1.47721,2026-08-13,22370
INU6,RFUD,95.495,95.97,0.475,0,0,0,0,0,0,95.7975,0,0,0,0,0,0,17:47:16,0,,,,,,,17:47:16,0,20260813180218,2026-08-13 18:02:18,,,0,0.00000,0.00000,2026-08-13,0
INZ6,RFUD,94.8675,96.6175,1.75,0,0,0,0,0,0,96.6175,-0.0375,0,0,0,0,0,17:47:16,0,,,,,,,17:47:16,-0.04,20260813180218,2026-08-13 18:02:18,,,0,0.00000,0.00000,2026-08-13,0
IPU6,RFUD,481,484,3,524,524,485,485,11,-6,484,-15.5,2292,24,3935,1943222,23590,17:49:47,-1.22,,,,,,,17:16:01,-3.2,20260813180453,2026-08-13 18:04:53,2026-08-13,-4.81,188,0.00000,0.00000,2026-08-13,485
IPZ6,RFUD,519,529,10,572.5,572.5,500,517.5,3,-47.5,519,-3,910,14,111,57908,703,17:49:47,-8.41,,,,,,,09:19:20,-0.58,20260813180453,2026-08-13 18:04:53,2026-08-13,0.29,42,0.00000,0.00000,2026-08-13,518
IRU6,RFUD,25680,25722,42,26417,26531,25719,25719,1,-17,25719,-977,9008,594,1125,29379970,356665,17:50:22,-0.07,,,,,,,17:43:50,-3.8,20260813180523,2026-08-13 18:05:23,2026-08-13,-2.77,158,0.00000,0.00000,2026-08-13,25719
IRZ6,RFUD,26598,26642,44,27350,27432,26764,26822,1,51,26642,-902,708,57,59,1595034,19363,17:50:19,0.19,,,,,,,17:09:03,-3.39,20260813180522,2026-08-13 18:05:22,2026-08-13,-2.37,18,0.00000,0.00000,2026-08-13,26822
ISU6,RFUD,445,449,4,462,465,443,449,20,5,449,-19,13554,104,1551,706518,8577,17:50:20,1.13,,,,,,,17:38:23,-4.23,20260813180522,2026-08-13 18:05:22,2026-08-13,-3.65,-996,0.00000,0.00000,2026-08-13,449
ISZ6,RFUD,452,457,5,470,471,450,451,3,1,452,-23,3420,52,362,167250,2030,17:50:20,0.22,,,,,,,17:36:12,-5.09,20260813180522,2026-08-13 18:05:22,2026-08-13,-4.65,334,0.00000,0.00000,2026-08-13,451
IVU6,RFUD,6496,6517,21,6950,6950,6483,6533,10,42,6533,-269,5736,330,1518,9975335,121098,17:50:22,0.65,,,,,,,17:47:29,-4.12,20260813180523,2026-08-13 18:05:23,2026-08-13,-4.81,-552,0.00000,0.00000,2026-08-13,6533
IVZ6,RFUD,6485,6513,28,6546,6666,6479,6518,1,10,6518,-296,1150,20,31,203364,2469,17:50:22,0.15,,,,,,,17:47:29,-4.54,20260813180523,2026-08-13 18:05:23,2026-08-13,-4.34,8,0.00000,0.00000,2026-08-13,6518
JDU6,RFUD,29.16,29.24,0.08,31.01,31.6,30.58,31.11,1,0.53,29.22,-2.12,24,9,18,463932,5632,17:50:22,1.73,,,,,,,16:30:38,-7.26,20260813180523,2026-08-13 18:05:23,2026-08-13,-1.61,4,0.00000,0.00000,2026-08-13,25821
JDZ6,RFUD,29.68,30.13,0.45,0,0,0,0,0,0,29.9,-1.96,4,0,0,0,0,17:50:22,0,,,,,,,17:50:22,-6.56,20260813180523,2026-08-13 18:05:23,,,0,0.00000,0.00000,2026-08-13,0
JPU6,RFUD,159.42,159.55,0.13,159.41,159.7,159.3,159.3,3,-0.28,159.42,-0.11,3510,29,129,10721458,130156,17:48:34,-0.18,,,,,,,17:16:42,-0.07,20260813180407,2026-08-13 18:04:07,2026-08-13,-0.25,-14,0.00000,0.00000,2026-08-13,82971
JPZ6,RFUD,159.32,160.39,1.07,0,0,0,0,0,0,159.32,-0.1,116,0,0,0,0,17:50:04,0,,,,,,,17:50:04,-0.06,20260813180506,2026-08-13 18:05:06,,,0,0.00000,0.00000,2026-08-13,0
KCG7,RFUD,0,3.596,0,0,0,0,0,0,0,3.596,0.129,0,0,0,0,0,17:37:43,0,,,,,,,17:37:43,3.59,20260813180518,2026-08-13 18:05:18,,,0,0.00000,0.00000,2026-08-13,0
KCQ6,RFUD,3.377,3.379,0.002,3.403,3.412,3.361,3.378,50,0.001,3.379,-0.009,441416,12939,289047,812949956,9868988,17:50:21,0.03,,,,,,,17:50:13,-0.27,20260813180522,2026-08-13 18:05:22,2026-08-13,-0.59,1346,3.40300,0.00000,2026-08-13,2804
KCX6,RFUD,3.273,3.277,0.004,3.317,3.362,3.265,3.274,1,-0.003,3.274,-0.013,192166,6633,76952,211362433,2565881,17:50:13,-0.09,,,,,,,17:49:57,-0.4,20260813180518,2026-08-13 18:05:18,2026-08-13,-1.42,38688,3.31700,0.00000,2026-08-13,2717
KMU6,RFUD,513,520,7,529,538,510,513,1,1,513,-33,26520,189,3633,1904194,23116,17:50:22,0.2,,,,,,,17:45:56,-6.43,20260813180523,2026-08-13 18:05:23,2026-08-13,-5,1490,0.00000,0.00000,2026-08-13,513
KMZ6,RFUD,522,529,7,544,544,520,521,14,-2,522,-36,10880,69,653,346775,4210,17:48:00,-0.38,,,,,,,17:42:00,-6.9,20260813180302,2026-08-13 18:03:02,2026-08-13,-4.75,784,0.00000,0.00000,2026-08-13,521
KRU6,RFUD,170.61,173.45,2.84,174.47,178.59,167.63,173.46,3,0.01,173.45,2.37,2338,125,484,6949267,84362,17:48:19,0.01,,,,,,,17:44:11,1.37,20260813180321,2026-08-13 18:03:21,2026-08-13,1.37,24,174.47000,0.00000,2026-08-13,14397
KRZ6,RFUD,174.72,178.62,3.9,178.73,183.17,175.83,176.25,1,0.42,176.25,0.45,84,17,17,252841,3069,17:49:24,0.24,,,,,,,16:48:08,0.26,20260813180424,2026-08-13 18:04:24,2026-08-13,0.26,10,0.00000,0.00000,2026-08-13,14628
