assetcode,underlying_asset,asset_type,count_with,is_not_rub,perpetual_is_spot
SAP,,stock,SAP,1,0
SAUDI,,index,SAUDI,1,0
SBERF,SBER,stock,SBER,0,0
SBPR,SBERP,stock,SBERP,0,0
SBRF,SBER,stock,SBER,0,0
SFIN,SFIN,stock,SFIN,1,0
SGZH,SGZH,stock,SGZH,0,0
SIBN,SIBN,stock,SIBN,0,0
SILV,SILV,commodity,SILV,0,0
SILVM,,commodity,SILVM,0,0
SL,SLVRUB_TOM,commodity,SLVRUB_TOM,0,0
SLVRUBTOM,SLV,commodity,SLV,0,0
SMLT,SMLT,stock,SMLT,0,0
SNDKF,FIXSNDK,index,FIXSNDK,1,0
SNGP,SNGSP,stock,SNGSP,0,0
SNGR,SNGS,stock,SNGS,0,0
SOFL,SOFL,stock,SOFL,0,0
SOL,,index,SOL,1,0
SONY,,stock,SONY,1,0
SOXQ,,index,SOXQ,1,0
SP500F,FIXSPY,index,SP500F,1,1
SPBE,SPBE,stock,SPBE,0,0
SPYF,SPYF,index,SP500F,1,1
STOX,CSX5-RM,index,CSX5-RM,1,0
SUGAR,SUGAROTCCEN,commodity,SUGAROTCCEN,0,0
SUGR,SUGR,commodity,SUGR,0,0
SVCB,SVCB,stock,SVCB,0,0
Si,USD000UTSTOM,currency,USDRUBTOM,0,1
T,T,stock,T,0,0
TATN,TATN,stock,TATN,0,0
TATP,TATNP,stock,TATNP,0,0
TENCENT,,stock,TENCENT,1,0
TLT,,index,TLT,1,0
TOYOTA,,stock,TOYOTA,1,0
TRNF,TRNFP,stock,TRNFP,0,0
TRX,,index,TRX,1,0
TRY,TRYRUB_TOM,currency,TRYRUB_TOM,0,0
TSLAF,FIXTSLA,index,FIXTSLA,1,0
TSM,,stock,TSM,1,0
TTF,,commodity,TTF,0,0
UCAD,UCAD,currency,UCAD,0,0
UCHF,UCHF,currency,UCHF,0,0
UCNY,UCNY,currency,UCNY,0,0
UINR,,currency,UINR,0,0
UJPY,UJPY,currency,UJPY,0,0
UKZT,UKZT,currency,UKZT,0,0
UPRO,UPRO,stock,UPRO,0,0
USDM,USD000UTSTOM,currency,USDRUBTOM,0,1
USDRUBTOM,USD000UTSTOM,currency,USDRUBTOM,0,1
UTRY,UTRY,currency,UTRY,0,0
VKCO,VKCO,stock,VKCO,0,0
VTBR,VTBR,stock,VTBR,0,0
WHEAT,WHEAT,commodity,WHEAT,0,0
WTI,,commodity,WTI,0,0
WUSH,WUSH,stock,WUSH,0,0
X5,X5,stock,X5,0,0
XIA,,stock,XIA,1,0
XRP,,index,XRP,1,0
YDEX,YDEX,stock,YDEX,0,0
ZINC,,commodity,ZINC,0,0
